Sentimen;review;review_datetime_utc
Positif;Suasana yg nyaman dan penuh semangat utk saling membantu dalam tukar pikiran dalam dunia bisnis maupun karyawan yang bekerja pada sebuah perusahaan...;09/11/2020 13:16:06
Positif;Mantap kopinx;07/19/2022 07:17:49
Positif;Kopinya mantap broo;07/04/2022 06:57:57
Positif;"Tabe, kalo mauki ngopi ngopi ayo Ngeteh datang maki Kesini murah meriah dan ramah. Spesial lagi ada WiFi gratisnya.
Barakallahu Fiikum";10/27/2020 12:21:58
Positif;Ngopi dulu biar gak Panik;05/16/2018 10:17:06
Positif;Mantap kopinya salam dari warkop daeng tutu;08/27/2018 00:07:51
Positif;Warkop ini tdk jauh dari warung makan salemo..., tempat tdk begitu besar tapi banyak disinggahi penikmat kopi, murah dan enak sekali kopinya....;12/30/2018 12:21:36
Positif;Mantap pelayanan nya di warkop salemo;10/03/2020 00:24:32
Positif;Ini warkop luar biasa murah cuma 10000  dan rasa kopinya luar biasa;08/24/2019 14:16:09
Positif;Kopi susunya nendaang....;06/03/2019 21:30:55
Positif;Kopinya enak;06/08/2019 09:03:21
Positif;Kopi tradisional murah dan enak;03/09/2019 03:38:08
Positif;Alhamdulillah...mantapp;10/30/2020 22:29:43
Positif;mantap pelayanannya dan ramah;10/11/2019 13:15:13
Positif;Terjangkau untuk kantong mahasiswa, cepat wifi;09/14/2019 05:13:35
Positif;Utara kota punya kopi;07/02/2019 09:18:39
Positif;Warkop pilihan krn byk menu;03/10/2018 09:27:24
Positif;Mantap kopix;09/11/2020 08:22:25
Positif;Enak kopix;05/09/2019 05:24:10
Positif;Sukses slu.;10/03/2019 15:35:27
Positif;Mantap;03/06/2021 06:54:17
Positif;Warkop Salemo;12/26/2018 05:53:24
Positif;Mantap;09/06/2020 02:26:43
Positif;"(Diterjemahkan oleh Google) Tempat nongkrong dan minum kopi yang oke dengan harga orang biasa..rasanya bisa dicoba

(Asli)
Tempat ok buat nongkrong minum kopi dengan harga rakyat biasa..soal rasa boleh dicoba";09/16/2019 14:06:40
Positif;Mumtaz ??;11/22/2020 09:13:53
Positif;"(Diterjemahkan oleh Google) asikkk

(Asli)
asyikkk";04/14/2019 14:15:02
Positif;Makyus;05/16/2019 11:09:51
Positif;"(Diterjemahkan oleh Google) adam

(Asli)
Adama";09/06/2020 02:29:59
Positif;enak pokonya mantap;12/28/2020 07:54:47
Positif;dekat dengan kantor lurah jadi bisa ngeteh dulu;06/02/2021 09:00:41
Negatif;tidak tersedia kue kue atau gorengan;10/02/2019 01:56:17
Positif;sambil nunggu orderan ngopi dulu disini mantap;12/06/2017 17:53:44
Negatif;kadang wifenya tidak bagus;05/09/2021 03:02:12
Negatif;Tempatnya nyaman hanya tempat pasrkir mobil terbatas;05/16/2021 21:13:51
Positif;Tempat minum kopi dengan suana keluarga sendiri;01/08/2022 13:54:31
Positif;Mantp dan ok punya;01/11/2019 10:46:52
Positif;Andalan;07/20/2018 16:21:42
Negatif;agak panas ;11/02/2019 04:41:31
Positif;harga kopinya murah kopi ukkuran kecil Cuma 8ribu;10/27/2018 05:15:18
;;08/09/2020 00:33:28
;;12/10/2019 07:40:01
;;11/24/2017 14:11:45
;;05/03/2022 17:18:35
;;03/30/2019 19:28:20
;;07/17/2021 13:22:55
;;09/22/2019 06:57:28
;;12/28/2018 09:33:41
;;11/05/2018 08:49:50
;;12/25/2019 12:26:36
;;07/27/2019 09:13:13
;;04/25/2019 16:38:43
;;01/04/2020 17:21:02
;;09/05/2020 02:23:25
;;02/06/2021 03:13:25
;;11/25/2020 08:05:12
;;01/26/2021 12:57:02
;;10/29/2020 23:35:12
;;11/19/2020 23:20:42
;;10/16/2020 00:21:37
